T1 P0 D2.997200 ;Probe 
T2 P0 D3.175000 Z-37.397800 ;Spot Drill 
T3 P0 D3.175000 Z-48.431581 ;1/8" 2 Flute 
T4 P0 D6.350000 Z-21.642200 ;1/4" 2 Flute 
T5 P0 D11.112500 Z-34.227900 ;7/16" 2 Flute 
T6 P0 D12.700000 Z-35.536000 ;1/2" 2 Flute 
T7 P0 D63.500000 Z-32.302600 ;Fly Cutter 
T8 P0 D76.200000 Z-35.584300 ;SlittingSaw 
T9 P0 D15.875000 Z-13.516742 ;5/8" 4 Flute 
T10 P0 D19.050000 Z-8.449400 ;3/4" 4 Flute 
T11 P0 D7.143700 Z-18.368141 ;9/32" 2 flute ball 
T12 P0 D2.000000 Z-15.449700 ;ChamferTool 
T13 P0 D1.587500 ;Engraver 
T20 P0 D1.000000 ;Drill 
T16 P0 D6.350000 Z-13.636100 ;ER11 Collet 
T30 P0 D1.000000 ;Large Chuck 
